Date,BK,LM,TR,E146,TSH,R127,Cell_5_183,Cell_5_185,Cell_8_182,Cell_8_185,Cell_8_187,Cell_11_182,Cell_11_185,Cell_11_188,Cell_11_191,Cell_12_193,Cell_14_182,Cell_14_185,Cell_14_188,Cell_14_191,Cell_14_194,Cell_17_182,Cell_17_185,Cell_17_188,Cell_17_191,Cell_17_194
1994-06-01,-18.94,-19.44,-9.84,-8.84,11.86,21.66,22.44,20.51,16.85,22.67,23.99,14.42,17.46,25.17,26.37,24.83,16.24,7.73,12.48,19.39,18.04,17.59,10.49,2.61,6.97,5.29
1994-06-02,-22.04,-22.84,-11.54,-10.64,11.56,21.96,21.63,19.65,15.97,21.95,23.37,13.49,16.82,24.82,25.98,24.35,15.49,7.18,12.14,19.05,17.55,16.86,10.02,2.25,6.63,4.89
1994-06-03,-26.14,-26.64,-12.94,-11.54,12.76,22.86,20.69,18.69,15.36,21.39,22.82,13.08,16.56,24.6,25.65,23.97,15.46,7.26,12.2,18.97,17.2,16.99,10.43,2.56,6.74,4.74
1994-06-04,-29.94,-27.44,-13.94,-12.24,14.06,25.26,21.72,19.74,16.22,22.68,24.38,13.82,17.92,26.56,27.52,25.63,16.32,8.6,13.98,20.77,18.89,17.78,11.75,4.28,8.66,6.67
1994-06-05,-26.44,-26.84,-14.64,-12.84,15.26,28.66,24.86,22.87,18.46,25.63,27.82,15.56,20.67,30.35,31.15,28.66,18.13,11.09,17.04,23.81,21.4,19.45,13.79,6.63,11.02,8.51
1994-06-06,-23.34,-24.64,-15.54,-13.44,15.86,30.46,25.94,23.88,18.97,26.3,28.61,15.86,21.21,31.13,31.77,28.96,18.52,11.57,17.56,24.18,21.37,20.07,14.23,7.04,11.24,8.19
1994-06-07,-20.24,-23.44,-16.64,-14.34,16.16,32.26,26.74,24.71,19.19,26.75,29.19,15.89,21.5,31.6,32.19,29.19,18.57,11.81,17.83,24.4,21.33,20.2,14.45,7.22,11.33,8.07
1994-06-08,-19.24,-22.54,-17.54,-15.24,16.16,33.26,26.83,24.8,18.88,26.53,29,15.47,21.16,31.26,31.87,28.84,18.2,11.48,17.47,24.05,20.89,19.95,14.2,6.94,10.98,7.66
1994-06-09,-22.04,-22.04,-17.54,-15.54,17.66,34.46,26.94,24.91,18.93,26.6,29.04,15.63,21.34,31.36,31.96,28.99,18.53,11.88,17.83,24.4,21.19,20.53,14.93,7.68,11.68,8.34
1994-06-10,-23.84,-22.94,-17.54,-15.54,19.46,35.36,27.15,25.11,19.21,26.89,29.31,16.03,21.77,31.77,32.48,29.7,19.2,12.61,18.59,25.21,22.1,21.47,16.01,8.77,12.76,9.43
1994-06-11,-22.94,-23.04,-16.84,-14.94,21.06,36.26,27.52,25.48,19.81,27.46,29.85,16.76,22.49,32.47,33.16,30.43,20.09,13.5,19.49,26.08,22.93,22.47,17.08,9.83,13.75,10.35
1994-06-12,-21.94,-22.34,-17.84,-15.24,21.06,35.96,26.59,24.48,19.05,26.51,28.76,16.19,21.67,31.4,32.1,29.54,19.66,12.85,18.71,25.3,22.25,22.22,16.66,9.33,13.21,9.91
1994-06-13,-22.54,-23.54,-18.44,-15.24,21.06,35.36,25.39,23.29,18.36,25.67,27.83,15.84,21.08,30.62,31.28,28.82,19.44,12.44,18.19,24.71,21.67,22.11,16.42,8.96,12.79,9.57
1994-06-14,-24.34,-25.14,-19.34,-15.54,20.76,34.46,24.16,22,17.49,24.6,26.65,15.17,20.18,29.53,30.16,27.8,18.87,11.7,17.34,23.8,20.8,21.63,15.84,8.3,12.09,8.93
1994-06-15,-25.34,-25.94,-20.54,-15.54,20.76,33.56,23.23,21.07,17,23.99,25.98,14.89,19.78,29.02,29.54,27.17,18.65,11.42,16.97,23.31,20.22,21.4,15.67,8.02,11.7,8.53
1994-06-16,-28.84,-28.64,-21.74,-15.84,20.16,32.66,22.22,20.06,16.25,23.16,25.09,14.28,19.03,28.16,28.68,26.36,18.05,10.74,16.21,22.52,19.46,20.76,15.03,7.31,10.98,7.92
1994-06-17,-29.54,-30.64,-23.04,-5.25,19.86,31.36,21.65,19.51,15.86,22.67,24.56,13.94,18.58,27.61,28.16,25.91,17.7,10.36,15.74,22.03,19.05,20.38,14.69,6.87,10.52,7.53
