Date,MSL_Low_NAVD_cm,MSL_High_NAVD_cm
2015-01-01,-14.8,-14.8
2015-01-08,-14.79,-14.78
2015-01-15,-14.78,-14.76
2015-01-22,-14.76,-14.74
2015-01-29,-14.75,-14.72
2015-02-05,-14.74,-14.7
2015-02-12,-14.73,-14.68
2015-02-19,-14.71,-14.67
2015-02-26,-14.7,-14.65
2015-03-05,-14.69,-14.63
2015-03-12,-14.68,-14.61
2015-03-19,-14.67,-14.59
2015-03-26,-14.65,-14.57
2015-04-02,-14.64,-14.55
2015-04-09,-14.63,-14.53
2015-04-16,-14.62,-14.51
2015-04-23,-14.61,-14.49
2015-04-30,-14.6,-14.47
2015-05-07,-14.58,-14.45
2015-05-14,-14.57,-14.43
2015-05-21,-14.56,-14.42
2015-05-28,-14.55,-14.4
2015-06-04,-14.54,-14.38
2015-06-11,-14.53,-14.36
2015-06-18,-14.51,-14.34
2015-06-25,-14.5,-14.32
2015-07-02,-14.49,-14.3
2015-07-09,-14.48,-14.28
2015-07-16,-14.47,-14.26
2015-07-23,-14.46,-14.24
2015-07-30,-14.45,-14.22
2015-08-06,-14.43,-14.2
2015-08-13,-14.42,-14.19
2015-08-20,-14.41,-14.17
2015-08-27,-14.4,-14.15
2015-09-03,-14.39,-14.13
2015-09-10,-14.38,-14.11
2015-09-17,-14.37,-14.09
2015-09-24,-14.36,-14.07
2015-10-01,-14.34,-14.05
2015-10-08,-14.33,-14.03
2015-10-15,-14.32,-14.01
2015-10-22,-14.31,-13.99
2015-10-29,-14.3,-13.97
2015-11-05,-14.29,-13.96
2015-11-12,-14.28,-13.94
2015-11-19,-14.27,-13.92
2015-11-26,-14.26,-13.9
2015-12-03,-14.25,-13.88
2015-12-10,-14.23,-13.86
2015-12-17,-14.22,-13.84
2015-12-24,-14.21,-13.82
2015-12-31,-14.2,-13.8
2016-01-07,-14.19,-13.78
2016-01-14,-14.18,-13.76
2016-01-21,-14.17,-13.75
2016-01-28,-14.16,-13.73
2016-02-04,-14.15,-13.71
2016-02-11,-14.14,-13.69
2016-02-18,-14.13,-13.67
2016-02-25,-14.11,-13.65
2016-03-03,-14.1,-13.63
2016-03-10,-14.09,-13.61
2016-03-17,-14.08,-13.59
2016-03-24,-14.07,-13.57
2016-03-31,-14.06,-13.55
2016-04-07,-14.05,-13.54
2016-04-14,-14.04,-13.52
2016-04-21,-14.03,-13.5
2016-04-28,-14.02,-13.48
2016-05-05,-14,-13.46
2016-05-12,-13.99,-13.44
2016-05-19,-13.98,-13.42
2016-05-26,-13.97,-13.4
2016-06-02,-13.96,-13.38
2016-06-09,-13.95,-13.36
2016-06-16,-13.94,-13.34
2016-06-23,-13.93,-13.32
2016-06-30,-13.92,-13.31
2016-07-07,-13.9,-13.29
2016-07-14,-13.89,-13.27
2016-07-21,-13.88,-13.25
2016-07-28,-13.87,-13.23
2016-08-04,-13.86,-13.21
2016-08-11,-13.85,-13.19
2016-08-18,-13.84,-13.17
