Date,Cell_14_191,Cell_17_188,Cell_8_172,Cell_8_182,Cell_5_172,Cell_5_185,Cell_5_182,Cell_8_187,Cell_11_185,Cell_14_194,Cell_11_176,Cell_14_188,Cell_17_179,Cell_14_179,Cell_11_188,Cell_17_191,Cell_8_179,Cell_17_182,Cell_11_179,Cell_12_193,Cell_14_176,Cell_5_176,Cell_11_191,Cell_14_185,Cell_11_182,Cell_14_172,Cell_17_172,Cell_8_176,Cell_8_185,Cell_5_179,Cell_17_194,Cell_17_185,Cell_17_176,Cell_11_172,Cell_14_182
1973-01-01,-24.3,-30.42,-18.85,-23.77,-23.54,-22.52,-23.9,-21.66,-24.5,-21.76,-22.46,-25.98,-31.23,-27.33,-22.43,-28.35,-21.31,-32.1,-24.03,-21.19,-26.1,-23.75,-21.34,-27.56,-25,-24.77,-28.05,-18.9,-22.79,-24.31,-24.68,-31.52,-29.51,-21.87,-27.82
1973-01-02,-24.61,-30.72,-19.17,-24.11,-23.87,-22.86,-24.25,-21.97,-24.81,-22.08,-22.78,-26.28,-31.53,-27.64,-22.72,-28.66,-21.66,-32.41,-24.35,-21.51,-26.42,-24.08,-21.64,-27.87,-25.32,-25.08,-28.35,-19.23,-23.11,-24.65,-25,-31.83,-29.81,-22.18,-28.13
1973-01-03,-25.24,-31.34,-19.81,-24.81,-24.55,-23.56,-24.95,-22.61,-25.44,-22.74,-23.45,-26.9,-32.15,-28.29,-23.32,-29.29,-22.36,-33.04,-25.02,-22.16,-27.06,-24.75,-22.26,-28.51,-25.98,-25.71,-28.96,-19.91,-23.78,-25.35,-25.66,-32.45,-30.42,-22.83,-28.77
1973-01-04,-25.24,-31.34,-19.81,-24.81,-24.55,-23.56,-24.95,-22.61,-25.44,-22.74,-23.45,-26.9,-32.15,-28.29,-23.32,-29.29,-22.36,-33.04,-25.02,-22.16,-27.06,-24.75,-22.26,-28.51,-25.98,-25.71,-28.96,-19.91,-23.78,-25.35,-25.66,-32.45,-30.42,-22.83,-28.77
1973-01-05,-25.24,-31.34,-19.81,-24.81,-24.55,-23.56,-24.95,-22.61,-25.44,-22.74,-23.45,-26.9,-32.15,-28.29,-23.32,-29.29,-22.36,-33.04,-25.02,-22.16,-27.06,-24.75,-22.26,-28.51,-25.98,-25.71,-28.96,-19.91,-23.78,-25.35,-25.66,-32.45,-30.42,-22.83,-28.77
1973-01-06,-25.55,-31.65,-20.13,-25.15,-24.89,-23.9,-25.3,-22.93,-25.75,-23.07,-23.77,-27.2,-32.45,-28.61,-23.61,-29.6,-22.7,-33.35,-25.35,-22.48,-27.38,-25.08,-22.56,-28.82,-26.31,-26.02,-29.26,-20.24,-24.11,-25.69,-25.98,-32.76,-30.72,-23.15,-29.09
1973-01-07,-23.98,-30.1,-18.53,-23.41,-23.19,-22.17,-23.54,-21.33,-24.17,-21.42,-22.12,-25.66,-30.91,-27,-22.13,-28.03,-20.96,-31.77,-23.69,-20.85,-25.78,-23.41,-21.02,-27.24,-24.66,-24.45,-27.74,-18.55,-22.45,-23.96,-24.34,-31.2,-29.2,-21.54,-27.5
1973-01-08,-24.61,-30.72,-19.17,-24.11,-23.87,-22.86,-24.25,-21.97,-24.81,-22.08,-22.78,-26.28,-31.53,-27.64,-22.72,-28.66,-21.66,-32.41,-24.35,-21.51,-26.42,-24.08,-21.64,-27.87,-25.32,-25.08,-28.35,-19.23,-23.11,-24.65,-25,-31.83,-29.81,-22.18,-28.13
1973-01-09,-25.55,-31.65,-20.13,-25.15,-24.89,-23.9,-25.3,-22.93,-25.75,-23.07,-23.77,-27.2,-32.45,-28.61,-23.61,-29.6,-22.7,-33.35,-25.35,-22.48,-27.38,-25.08,-22.56,-28.82,-26.31,-26.02,-29.26,-20.24,-24.11,-25.69,-25.98,-32.76,-30.72,-23.15,-29.09
1973-01-10,-21.46,-27.61,-15.95,-20.62,-20.46,-19.38,-20.72,-18.78,-21.63,-18.78,-19.48,-23.2,-28.44,-24.41,-19.75,-25.5,-18.16,-29.24,-21.03,-18.24,-23.21,-20.72,-18.55,-24.72,-22.02,-21.92,-25.3,-15.84,-19.79,-21.18,-21.72,-28.7,-26.76,-18.96,-24.95
